R,OpenStartPage.1.9,1308643754158,22,false,320,6501,200,http://localhost:8080/pebble/FCKeditor/fckeditor.js,application/x-javascript,0,0,14,6,14,20
R,OpenStartPage.1.12,1308643754181,14,false,331,920,200,http://localhost:8080/pebble/common/images/feed-icon-16x16.png,image/png,0,0,11,0,11,11
R,OpenStartPage.1.10,1308643754166,30,false,322,4114,200,http://localhost:8080/pebble/themes/_pebble/print.css,text/css,0,0,9,9,9,18
R,OpenStartPage.1.1,1308643754118,90,false,311,43876,200,http://localhost:8080/pebble/dwr/engine.js,text/javascript,0,0,6,78,6,84
R,OpenStartPage.1.11,1308643754173,74,false,309,36157,200,http://localhost:8080/pebble/dwr/util.js,text/javascript,0,0,6,63,6,69
R,OpenStartPage.1.13,1308643754196,196,false,318,71434,200,http://localhost:8080/pebble/scripts/prototype.js,application/x-javascript,0,0,7,183,7,190
R,OpenStartPage.1.14,1308643754433,16,false,356,4810,200,http://localhost:8080/pebble/scripts/builder.js,application/x-javascript,0,0,5,9,5,14
R,OpenStartPage.1.15,1308643754451,67,false,356,38045,200,http://localhost:8080/pebble/scripts/effects.js,application/x-javascript,0,0,3,61,3,64
R,OpenStartPage.1.16,1308643754523,48,false,357,30818,200,http://localhost:8080/pebble/scripts/dragdrop.js,application/x-javascript,0,0,4,42,4,46
R,OpenStartPage.1.17,1308643754573,47,false,357,29153,200,http://localhost:8080/pebble/scripts/controls.js,application/x-javascript,0,0,4,40,4,44
R,OpenStartPage.1.18,1308643754621,21,false,355,10576,200,http://localhost:8080/pebble/scripts/slider.js,application/x-javascript,0,0,3,16,3,19
A,OpenStartPage,1308643754073,619,false
R,Login.60,1308643754811,7,false,485,105,302,http://localhost:8080/pebble/j_acegi_security_check,,0,0,5,0,5,5
R,Login.61,1308643754817,47,false,338,13081,200,http://localhost:8080/pebble/,text/html,0,0,24,21,24,45
R,Login.64,1308643754867,9,false,321,653,200,http://localhost:8080/pebble/dwr/interface/Pebble.js,text/plain,0,0,5,1,5,6
R,Login.62,1308643754865,66,false,311,43876,200,http://localhost:8080/pebble/dwr/engine.js,text/javascript,0,0,6,57,6,63
A,Login,1308643754802,300,false
R,GotoHelp.80,1308643755261,55,false,353,15082,200,http://localhost:8080/pebble/help/index.html,text/html,0,0,20,33,20,53
R,GotoHelp.83,1308643755319,35,false,321,653,200,http://localhost:8080/pebble/dwr/interface/Pebble.js,text/plain,0,0,8,22,8,30
R,GotoHelp.81,1308643755319,77,false,311,43876,200,http://localhost:8080/pebble/dwr/engine.js,text/javascript,0,0,15,61,15,76
A,GotoHelp,1308643755234,225,false
R,Logout.99,1308643755555,3,false,408,200,302,http://localhost:8080/pebble/logout.action?redirectUrl=http://localhost:8080/pebble/,,0,0,2,0,2,2
R,Logout.100,1308643755559,35,false,396,10179,200,http://localhost:8080/pebble/,text/html,0,0,17,17,17,34
R,Logout.103,1308643755597,8,false,363,799,200,http://localhost:8080/pebble/dwr/interface/Pebble.js,text/plain,0,0,4,2,4,6
R,Logout.101,1308643755597,99,false,353,43982,200,http://localhost:8080/pebble/dwr/engine.js,text/javascript,0,0,8,89,8,97
A,Logout,1308643755550,229,false
T,THelpBrowsing,1308643754063,1717,false,
R,OpenStartPage.1,1308643755790,39,false,264,10179,200,http://localhost:8080/pebble/,text/html,0,0,21,17,21,38
R,OpenStartPage.1.3,1308643755832,8,false,320,653,200,http://localhost:8080/pebble/dwr/interface/Pebble.js,text/plain,0,0,6,0,6,6
R,OpenStartPage.1.4,1308643755832,13,false,314,3276,200,http://localhost:8080/pebble/scripts/pebble.js,application/x-javascript,1,0,4,8,5,13
R,OpenStartPage.1.2,1308643755832,18,false,330,625,200,http://localhost:8080/pebble/common/images/feed-icon-10x10.png,image/png,0,0,13,2,14,16
R,OpenStartPage.1.5,1308643755840,10,false,330,477,200,http://localhost:8080/pebble/themes/default/images/favicon.ico,image/x-icon,0,0,3,3,3,6
R,OpenStartPage.1.8,1308643755850,14,false,324,4336,200,http://localhost:8080/pebble/themes/_pebble/handheld.css,text/css,0,0,4,9,4,13
R,OpenStartPage.1.6,1308643755847,19,false,321,2576,200,http://localhost:8080/pebble/scripts/scriptaculous.js,application/x-javascript,0,0,5,11,5,16
R,OpenStartPage.1.7,1308643755850,28,false,322,7561,200,http://localhost:8080/pebble/themes/default/screen.css,text/css,0,0,10,16,10,26
R,OpenStartPage.1.10,1308643755867,19,false,321,4114,200,http://localhost:8080/pebble/themes/_pebble/print.css,text/css,0,0,5,10,5,15
R,OpenStartPage.1.9,1308643755865,24,false,319,6501,200,http://localhost:8080/pebble/FCKeditor/fckeditor.js,application/x-javascript,0,0,13,3,13,16
R,OpenStartPage.1.12,1308643755887,13,false,330,920,200,http://localhost:8080/pebble/common/images/feed-icon-16x16.png,image/png,0,0,10,1,10,11
R,OpenStartPage.1.1,1308643755832,127,false,310,43876,200,http://localhost:8080/pebble/dwr/engine.js,text/javascript,1,0,16,109,17,126
R,OpenStartPage.1.11,1308643755880,87,false,308,36157,200,http://localhost:8080/pebble/dwr/util.js,text/javascript,0,0,3,76,3,79
R,OpenStartPage.1.13,1308643755890,182,false,317,71434,200,http://localhost:8080/pebble/scripts/prototype.js,application/x-javascript,0,0,6,172,6,178
R,OpenStartPage.1.14,1308643756090,12,false,355,4810,200,http://localhost:8080/pebble/scripts/builder.js,application/x-javascript,0,0,4,7,4,11
R,OpenStartPage.1.15,1308643756102,68,false,355,38045,200,http://localhost:8080/pebble/scripts/effects.js,application/x-javascript,0,0,3,62,3,65
R,OpenStartPage.1.16,1308643756177,41,false,356,30818,200,http://localhost:8080/pebble/scripts/dragdrop.js,application/x-javascript,0,0,3,37,3,40
R,OpenStartPage.1.17,1308643756220,45,false,356,29153,200,http://localhost:8080/pebble/scripts/controls.js,application/x-javascript,0,0,3,41,3,44
R,OpenStartPage.1.18,1308643756267,20,false,354,10576,200,http://localhost:8080/pebble/scripts/slider.js,application/x-javascript,0,0,3,15,3,18
A,OpenStartPage,1308643755790,540,false
R,Login.119,1308643756553,8,false,484,105,302,http://localhost:8080/pebble/j_acegi_security_check,,0,0,6,0,6,6
R,Login.120,1308643756560,42,false,337,13081,200,http://localhost:8080/pebble/,text/html,0,0,21,20,21,41
R,Login.123,1308643756606,5,false,320,653,200,http://localhost:8080/pebble/dwr/interface/Pebble.js,text/plain,0,0,2,1,2,3
R,Login.121,1308643756606,64,false,310,43876,200,http://localhost:8080/pebble/dwr/engine.js,text/javascript,0,0,5,58,5,63
A,Login,1308643756459,276,false
R,GotoHelp.139,1308643756812,36,false,352,15082,200,http://localhost:8080/pebble/help/index.html,text/html,0,0,14,21,14,35
R,GotoHelp.142,1308643756850,5,false,320,653,200,http://localhost:8080/pebble/dwr/interface/Pebble.js,text/plain,0,0,3,1,3,4
R,GotoHelp.140,1308643756850,64,false,310,43876,200,http://localhost:8080/pebble/dwr/engine.js,text/javascript,0,0,7,56,7,63
A,GotoHelp,1308643756795,180,false
